Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,983.3333353,FALSE,,"('Time_Max_Exceeded', 983.524799999941)",0,LEFT,607.5922,49:02.0,49:02.8,137,s4,ResponseInhibition
LEFT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1419.3894999999657)",0,LEFT,703.3076,49:04.3,49:05.2,138,s4,ResponseInhibition
LEFT,1100.000002,FALSE,,"('Time_Max_Exceeded', 1100.2576000000772)",0,LEFT,737.5625,49:06.3,49:07.2,139,s4,ResponseInhibition
RIGHT,1150.000002,TRUE,300.0000006,"('Time_Max_Exceeded', 1150.3377000000228)",0,RIGHT,496.0609006,49:08.4,49:09.1,140,s4,ResponseInhibition
LEFT,866.6666684,TRUE,283.3333339,"('Time_Max_Exceeded', 866.9688999999607)",0,Time_Max_Exceeded,1500.060034,49:10.0,49:11.5,141,s4,ResponseInhibition
LEFT,850.0000017,FALSE,,"('Time_Max_Exceeded', 0.05069999997431296)",0,LEFT,592.0834,49:12.4,49:13.2,142,s4,ResponseInhibition
RIGHT,700.0000014,FALSE,,"('Time_Max_Exceeded', 700.3092000001061)",0,RIGHT,635.8052,49:13.9,49:14.7,143,s4,ResponseInhibition
RIGHT,883.3333351,FALSE,,"('Time_Max_Exceeded', 883.6729000000787)",0,RIGHT,851.5857,49:15.6,49:16.7,144,s4,ResponseInhibition
LEFT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.344500000051)",0,LEFT,639.3507,49:18.0,49:18.8,145,s4,ResponseInhibition
LEFT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1216.9955999999047)",0,LEFT,616.9829,49:20.1,49:20.9,146,s4,ResponseInhibition
LEFT,1466.66667,FALSE,,"('Time_Max_Exceeded', 0.5581000000347558)",0,LEFT,733.1152,49:22.4,49:23.3,147,s4,ResponseInhibition
RIGHT,900.0000018,TRUE,300.0000006,"('Time_Max_Exceeded', 900.3030999999737)",0,Time_Max_Exceeded,1500.048801,49:24.2,49:25.7,148,s4,ResponseInhibition
RIGHT,1466.66667,FALSE,,"('Time_Max_Exceeded', 0.6433999999444495)",0,RIGHT,716.5847,49:27.2,49:28.1,149,s4,ResponseInhibition
LEFT,750.0000015,FALSE,,"('Time_Max_Exceeded', 750.4373000000442)",0,LEFT,688.5549,49:28.9,49:29.8,150,s4,ResponseInhibition
LEFT,1166.666669,FALSE,,"('Time_Max_Exceeded', 1166.9976000000588)",0,LEFT,518.2656,49:30.9,49:31.7,151,s4,ResponseInhibition
RIGHT,600.0000012,FALSE,,"('Time_Max_Exceeded', 600.2604000000247)",0,RIGHT,638.327,49:32.3,49:33.1,152,s4,ResponseInhibition
LEFT,1333.333336,FALSE,,"('Time_Max_Exceeded', 0.38499999993746314)",0,LEFT,441.9493,49:34.5,49:35.1,153,s4,ResponseInhibition
LEFT,1016.666669,FALSE,,"('Time_Max_Exceeded', 1016.8496000000005)",0,LEFT,647.0504,49:36.2,49:37.0,154,s4,ResponseInhibition
LEFT,1400.000003,FALSE,,"('Time_Max_Exceeded', 0.13660000001891603)",0,LEFT,470.9899,49:38.4,49:39.1,155,s4,ResponseInhibition
LEFT,900.0000018,FALSE,,"('Time_Max_Exceeded', 900.4017999999405)",0,LEFT,645.5987,49:40.0,49:40.9,156,s4,ResponseInhibition
LEFT,1050.000002,FALSE,,"('Time_Max_Exceeded', 0.2014000000372107)",0,LEFT,531.4843,49:41.9,49:42.7,157,s4,ResponseInhibition
