Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,LEFT,1283.333336,"('Time_Max_Exceeded', 1283.6684000000105)",0,,,LEFT,423.1133,55:07.4,55:08.0,107,s4,ConflictResolution
CONGRUENT,RIGHT,1033.333335,"('Time_Max_Exceeded', 1033.5938999999144)",0,,,RIGHT,451.4729,55:09.1,55:09.7,108,s4,ConflictResolution
INCONGRUENT,LEFT,750.0000015,"('Time_Max_Exceeded', 750.3285999999889)",0,,,LEFT,491.0291,55:10.5,55:11.2,109,s4,ConflictResolution
INCONGRUENT,RIGHT,766.6666682,"('Time_Max_Exceeded', 767.1586999999818)",0,,,RIGHT,574.3855,55:12.0,55:12.8,110,s4,ConflictResolution
INCONGRUENT,LEFT,1233.333336,"('Time_Max_Exceeded', 1233.671700000059)",0,,,LEFT,492.2042,55:14.0,55:14.7,111,s4,ConflictResolution
CONGRUENT,RIGHT,716.6666681,"('Time_Max_Exceeded', 0.34679999998843414)",0,,,RIGHT,425.484,55:15.5,55:16.1,112,s4,ConflictResolution
CONGRUENT,RIGHT,500.000001,"('Time_Max_Exceeded', 500.34419999997226)",0,,,RIGHT,479.4708,55:16.6,55:17.3,113,s4,ConflictResolution
INCONGRUENT,RIGHT,1166.666669,"('Time_Max_Exceeded', 1167.1698000000106)",0,,,RIGHT,672.1492,55:18.5,55:19.4,114,s4,ConflictResolution
INCONGRUENT,LEFT,633.3333346,"('Time_Max_Exceeded', 633.676199999968)",0,,,LEFT,577.8936,55:20.1,55:20.8,115,s4,ConflictResolution
CONGRUENT,LEFT,1033.333335,"('Time_Max_Exceeded', 1033.7134999999762)",0,,,LEFT,437.3262,55:21.9,55:22.5,116,s4,ConflictResolution
CONGRUENT,LEFT,1200.000002,"('Time_Max_Exceeded', 0.2167000000099506)",0,,,LEFT,376.1306,55:23.8,55:24.4,117,s4,ConflictResolution
